Voltage,Channel,Mean
0.5,1,925000
0.5,2,1.04703e+06
0.5,3,1.085e+06
0.5,4,1.025e+06
0.5,5,1.10381e+06
0.5,6,1.105e+06
0.5,7,1.11613e+06
0.5,8,1.12576e+06
0.5,9,1.125e+06
0.5,10,1.10613e+06
0.5,11,1.08757e+06
0.5,12,1.085e+06
0.5,13,1.11561e+06
0.5,14,945000
0.5,15,1.115e+06
0.5,16,1.11385e+06
0.6,1,1.11267e+06
0.6,2,1.25838e+06
0.6,3,1.30474e+06
0.6,4,1.23078e+06
0.6,5,1.32257e+06
0.6,6,1.32819e+06
0.6,7,1.34029e+06
0.6,8,1.34906e+06
0.6,9,1.34644e+06
0.6,10,1.33023e+06
0.6,11,1.30656e+06
0.6,12,1.30297e+06
0.6,13,1.31719e+06
0.6,14,1.13129e+06
0.6,15,1.33844e+06
0.6,16,1.33698e+06
0.7,1,1.25688e+06
0.7,2,1.39188e+06
0.7,3,1.44812e+06
0.7,4,1.38062e+06
0.7,5,1.40651e+06
0.7,6,1.41438e+06
0.7,7,1.45938e+06
0.7,8,1.47786e+06
0.7,9,1.4035e+06
0.7,10,1.39286e+06
0.7,11,1.40312e+06
0.7,12,1.40035e+06
0.7,13,1.35812e+06
0.7,14,1.31312e+06
0.7,15,1.45859e+06
0.7,16,1.45938e+06
0.8,1,1.29281e+06
0.8,2,1.41156e+06
0.8,3,1.47347e+06
0.8,4,1.40957e+06
0.8,5,1.41577e+06
0.8,6,1.42344e+06
0.8,7,1.49179e+06
0.8,8,1.45906e+06
0.8,9,1.41156e+06
0.8,10,1.39969e+06
0.8,11,1.41156e+06
0.8,12,1.41156e+06
0.8,13,1.36406e+06
0.8,14,1.37438e+06
0.8,15,1.47094e+06
0.8,16,1.47638e+06
0.9,1,1.29375e+06
0.9,2,1.41836e+06
0.9,3,1.47807e+06
0.9,4,1.40625e+06
0.9,5,1.41875e+06
0.9,6,1.42241e+06
0.9,7,1.4725e+06
0.9,8,1.45625e+06
0.9,9,1.4093e+06
0.9,10,1.40339e+06
0.9,11,1.41477e+06
0.9,12,1.40625e+06
0.9,13,1.35928e+06
0.9,14,1.38125e+06
0.9,15,1.46875e+06
0.9,16,1.47478e+06
1,1,1.32458e+06
1,2,1.41344e+06
1,3,1.47906e+06
1,4,1.41026e+06
1,5,1.41344e+06
1,6,1.42656e+06
1,7,1.47876e+06
1,8,1.45281e+06
1,9,1.41344e+06
1,10,1.40031e+06
1,11,1.41344e+06
1,12,1.41344e+06
1,13,1.36094e+06
1,14,1.37682e+06
1,15,1.46815e+06
1,16,1.47906e+06
